user_id,dish_id,score
606,5217,3.332358571152584
323,6183,0.42883551630195915
471,7654,4.92923748222159
744,6031,4.544122354437037
485,1861,3.815638479073411
843,1925,4.623673254456756
424,4816,0.42007476748165395
880,1732,0.6599361050080136
123,1929,1.1818984595592135
56,6336,3.6045413611479775
508,3080,4.644894158650053
870,4196,1.3257690179092356
134,5250,2.660846080689671
443,5705,3.810932764027277
182,7103,0.11970208831265461
955,2467,2.7335884509707022
466,2383,1.1360477178623833
977,4537,0.4658972882333111
160,5277,1.2608210205273678
298,5658,1.823344182405775
781,7167,4.145458329818749
910,2080,3.092768115513148
203,3283,0.19370829410710277
846,7660,2.0404815835411494
906,2181,1.2037445260334823
975,2393,1.483772708984184
81,912,2.881439609153715
720,2756,3.6291153635550666
940,5138,2.647473339320048
267,4109,3.0190856700685718
854,1021,2.1844622769446334
143,6775,0.9837658881987545
5,1374,2.4963341125145924
429,3443,0.6037227036671914
897,5474,1.7107803828357255
755,6582,4.325992248734966
254,3851,1.9302326118380888
369,6859,3.156180434230822
369,2255,4.2282428856010705
967,810,2.2556668803526088
389,1060,1.9467073918668203
723,3730,4.849748221297131
900,283,1.2046006767460908
380,1211,3.449597569184392
419,1879,2.6830401510437243
613,1760,1.7458078085014184
16,7522,1.1260435276469996
229,5778,4.999198000640802
370,1087,0.09851135124918775
226,7167,3.6930705558299417
231,296,1.6371563890683105
482,3544,3.1750318207335293
130,5919,3.456473190448567
91,1252,1.880913699159646
917,3233,0.28339857357156073
39,6410,4.5678246795323
741,3170,3.7474235086649275
216,1321,0.9261207820395798
73,595,0.4382770280430457
765,6845,2.2336244570656065
812,759,1.2479347281279032
162,5596,1.2940306741439467
300,6716,4.9731803527774385
667,6693,0.37992795073211894
362,7747,2.5923747906321988
38,5230,2.563557115460369
910,6767,0.13404895889254864
673,746,4.337423972196642
559,5962,1.6460076252401938
353,3870,4.014807449805504
656,4481,0.45873620509258606
647,4990,4.5886271754981856
110,3593,4.1693495865310375
5,1385,0.9415001026305919
962,1094,1.614120704425559
757,4000,1.1517527267860597
671,4689,3.673459015744137
320,7642,2.005949853683957
750,6764,0.3486577926774459
459,6667,4.00131769829152
942,6718,0.5339229245672823
517,4436,4.925066885775723
541,3904,1.830690788178825
113,5909,3.465308947220752
551,1781,2.1067890279520634
552,4850,2.382172917389888
2,397,2.2625258576406355
934,6658,0.7037027187627664
439,7092,2.1463196705396053
729,2653,4.788797056550508
701,3399,0.2676457090731007
594,7060,4.502521238898674
465,7368,2.6107594405136583
932,182,1.0609494752182327
849,2399,0.998593145522919
9,5388,0.32545157533197866
773,1256,2.5468353227918428
589,4056,0.22562305119764048
372,253,0.15200833017554394
300,7606,2.578091213510382
339,1374,3.3913046735316996
364,6480,1.8696444970427
489,4839,2.175589526391443
448,444,2.96787132973646
829,4533,1.1244406734699361
803,385,0.7655687301979333
9,88,2.8209120762035345
514,2250,4.734038697553708
311,1923,0.24900720292252398
769,2814,4.2025744776621785
23,3553,4.615631373156259
623,5211,1.0233814279778217
945,6174,1.9425123507007718
739,5855,4.935800282053274
7,4488,4.3504399476420765
700,1088,1.0194002768692652
406,425,4.519189287531386
472,5407,4.250039959586596
284,4068,0.41261174373246334
781,1377,1.1248330196156064
675,1591,3.309707492088282
745,1237,2.32446320561768
820,5468,1.515883356380582
143,1274,1.6072918723876
157,7125,2.7211863484443017
269,4668,2.5644908600947005
527,4929,3.9044167923748803
369,6296,2.7929671770533337
214,3371,0.1707274747046269
400,1387,4.404172476015354
556,6498,3.9343842011448085
242,7364,2.5985735559784304
205,4485,0.5873021128802091
617,5412,4.460445876778689
16,4842,3.5667496372044294
674,6399,4.674595707933538
241,5753,3.0893442981561208
895,4617,1.282452030296426
504,3331,2.607647932814812
909,4760,2.472204851250659
603,3720,1.8264779227947963
918,2813,3.2893533689368373
322,6664,0.861068769396176
835,2839,1.2098867572244758
970,785,2.4701688191043125
688,4462,4.749444145291753
447,2470,2.589410660950925
787,1250,3.900933018273869
190,4704,3.0893456993052046
570,6277,4.528854032134811
861,2582,4.457664422566161
569,3102,0.08123211603943858
328,2171,2.73847240343292
378,4153,2.3024274127649766
